ZIP,Number of returns,Population,P_Elderly,Income,Unemployment
75783,"3,400","6,770","1,210","190,380",90
75784,330,640,100,"14,928",0
75785,"3,910","8,060","1,030","186,379",70
75789,"3,490","7,330",900,"210,554",80
75790,"2,220","4,570",530,"118,518",40
75791,"6,360","13,280","1,510","502,433",170
75792,"1,580","3,200",410,"73,659",60
75801,"7,210","14,190","1,660","341,920",130
75803,"6,610","13,420","1,630","333,065",130
75831,"2,150","4,580",610,"119,425",50
75833,"1,480","3,000",530,"99,752",30
75835,"4,650","9,130","1,360","211,804",100
75838,270,510,100,"17,098",0
75839,"2,260","4,690",620,"117,284",50
75840,"3,260","6,570",890,"193,735",70
75844,"2,180","4,290",770,"130,281",50
75845,"1,150","2,320",330,"55,636",30
75846,"1,000","2,140",310,"54,474",0
75847,630,"1,260",200,"31,461",0
75850,200,400,90,"11,492",0
75851,"1,090","2,250",340,"60,892",0
75852,780,"1,490",190,"38,455",0
75853,480,880,170,"32,239",0
75855,980,"1,860",340,"48,633",0
75856,120,230,40,"5,430",0
75859,920,"1,850",390,"75,008",20
75860,"2,370","4,870",640,"125,011",40
75861,740,"1,420",200,"36,326",0
75862,"4,150","8,080","1,390","197,265",100
75901,"12,180","24,060","2,720","683,776",240
75904,"14,610","29,440","3,260","783,969",280
75925,"1,530","3,230",410,"69,705",30
75926,540,"1,040",150,"27,002",0
75928,440,960,90,"18,242",30
75929,600,"1,220",290,"36,278",0
75930,680,"1,420",180,"33,522",40
75931,"1,040","2,020",390,"72,713",30
75932,520,"1,070",210,"32,515",20
75933,580,"1,280",160,"30,510",40
75935,"5,580","11,820","1,200","278,866",130
75936,370,770,110,"21,900",0
75937,530,"1,030",140,"27,289",0
75938,"1,040","2,210",340,"55,317",50
75939,"1,680","3,380",380,"79,134",40
75941,"3,360","7,010",700,"151,883",90
75943,640,"1,360",180,"39,389",0
75944,530,"1,040",180,"32,188",0
75946,"1,390","2,960",380,"72,341",30
75948,"2,450","4,650","1,060","149,421",110
75949,"3,410","7,100",810,"179,301",100
75951,"6,390","12,760","1,830","325,855",240
75954,"1,310","2,860",310,"75,475",30
75956,"2,920","6,260",830,"163,388",140
75959,360,710,170,"21,207",0
75960,340,690,90,"18,847",0
75961,"5,950","11,360","1,240","265,647",130
75964,"7,840","16,520","1,540","332,096",150
75965,"7,250","13,300","1,980","494,040",110
75966,"1,760","3,720",450,"85,942",90
75968,740,"1,580",170,"38,279",40
75969,"1,590","3,240",350,"90,279",40
75972,"2,460","4,860",710,"111,918",70
75973,"1,030","2,130",330,"55,845",30
75974,"1,280","2,820",260,"60,454",50
75975,"1,390","2,930",380,"72,434",20
75977,240,480,70,"11,795",0
75979,"3,340","6,690","1,020","166,063",130
75980,"1,020","2,060",360,"55,430",70
76001,"16,270","32,560","3,090","1,103,468",450
76002,"16,680","33,860","1,990","923,165",500
76006,"13,620","22,470","1,870","795,128",420
76008,"9,530","22,790","2,250","1,408,104",150
76009,"10,030","20,920","2,010","529,238",220
76010,"22,050","44,950","2,400","706,293",450
76011,"11,130","19,310","1,430","548,576",280
76012,"13,140","24,520","3,670","1,000,897",290
76013,"15,520","27,430","3,960","985,997",280
76014,"16,390","32,360","2,260","596,083",410
76015,"8,770","15,890","1,880","457,069",180
76016,"15,720","29,830","4,900","1,351,677",340
76017,"22,680","42,550","5,300","1,483,119",600
76018,"13,910","26,630","2,130","641,931",430
76020,"15,070","30,370","3,740","1,050,867",330
76021,"18,330","32,220","5,060","1,333,283",430
76022,"7,380","13,160","1,630","381,774",180
76023,"3,210","6,490",840,"201,158",80
76028,"33,810","69,350","7,780","2,564,414",680
76031,"7,760","16,160","1,590","393,884",130
76033,"12,230","24,730","3,070","765,225",240
76034,"12,540","26,560","4,400","3,336,712",190
76035,"1,140","2,420",270,"103,415",20
76036,"15,500","30,780","2,980","937,940",410
76039,"20,450","35,920","3,720","1,285,643",490
76040,"15,290","28,770","2,250","772,077",340
76041,220,440,50,"11,552",0
76043,"3,280","6,910",930,"239,618",90
76044,"2,840","6,330",510,"224,253",50
76048,"11,930","22,680","4,080","819,772",270
76049,"14,780","29,360","6,040","1,314,341",260
76050,"3,220","6,950",770,"234,417",50
76051,"25,010","45,980","5,620","2,501,620",570
76052,"11,960","27,010","1,750","1,083,442",270
76053,"15,200","28,410","3,080","775,762",340
76054,"6,280","12,080","2,210","577,427",130
76055,"1,280","2,650",280,"62,091",0
76058,"9,080","19,250","1,830","492,172",220
76059,"2,150","4,350",450,"93,855",30
76060,"4,110","8,240",920,"317,987",90
76061,240,470,90,"14,962",0
76063,"35,450","74,080","6,720","3,051,499",860
76064,930,"2,050",240,"75,142",0
76065,"19,420","41,900","4,060","1,737,557",370
76066,"1,730","3,600",440,"163,958",20
76067,"8,670","17,370","1,900","411,297",140
76070,230,520,80,"22,469",0
76071,"1,880","4,030",370,"125,561",60
76073,"3,000","6,340",760,"230,646",60
76077,300,550,90,"20,307",0
76078,"4,480","9,660",870,"301,067",150
76082,"10,050","20,770","2,310","654,485",200
76084,"4,890","10,520",730,"272,489",120
76085,"5,610","11,460","1,460","406,974",80
76086,"10,250","19,190","2,600","587,594",140
76087,"15,170","31,820","4,340","1,515,993",230
76088,"6,310","13,130","1,500","528,832",110
76092,"13,720","32,820","3,560","4,483,095",210
76093,"1,170","2,440",230,"69,413",20
76102,"4,870","7,020",890,"1,248,177",70
76103,"6,370","12,670","1,150","265,628",120
76104,"8,770","16,710",870,"343,197",180
76105,"9,580","20,490","1,080","272,960",170
76106,"15,080","32,460","1,580","495,935",240
76107,"15,950","25,930","3,390","2,598,718",250
76108,"22,020","43,010","4,300","1,402,975",480
76109,"10,620","19,560","2,940","2,267,607",140
76110,"13,320","26,750","2,100","808,698",190
76111,"10,210","20,640","1,440","412,988",170
76112,"19,600","36,450","3,610","816,461",520
76114,"12,110","23,230","2,350","615,041",190
76115,"8,800","19,170",950,"286,887",120
76116,"23,450","42,720","5,030","1,652,673",400
76117,"14,690","28,770","2,460","599,638",310
76118,"7,880","15,340","1,570","470,141",180
76119,"20,260","42,650","2,720","624,230",420
76120,"9,040","16,580","1,230","454,513",290
76123,"17,990","36,480","2,730","1,037,324",490
76126,"12,610","25,240","3,730","1,471,036",200
76127,230,370,0,"9,561",0
76131,"22,660","47,780","2,730","1,471,010",530
76132,"12,900","21,700","3,350","1,320,145",220
76133,"24,130","46,200","5,270","1,182,625",530
76134,"12,540","24,990","2,180","522,809",320
76135,"9,800","18,890","2,090","582,103",200
76137,"29,230","56,240","4,400","1,704,741",660
76140,"14,660","30,200","2,210","674,784",370
76148,"11,880","22,320","2,400","599,016",300
76155,"3,220","4,740",240,"162,643",90
76164,"6,530","13,420",900,"248,706",110
76177,"10,360","21,020","1,190","749,007",240
76179,"32,070","67,010","5,240","2,378,925",770
76180,"18,050","32,320","4,120","1,081,765",370
76182,"15,570","30,430","4,480","1,385,446",360
76201,"10,400","13,380","1,360","409,821",140
76205,"8,600","14,160","1,640","496,656",150
76207,"8,110","14,430","3,020","622,268",130
76208,"11,960","24,580","2,250","851,102",260
76209,"13,080","23,310","2,360","604,538",270
76210,"21,340","42,420","4,290","1,664,128",490
76225,"1,580","3,290",410,"105,528",40
76226,"16,350","38,200","3,430","2,649,377",360
76227,"22,430","47,610","3,410","1,714,069",650
76228,440,880,140,"25,191",0
76230,"4,330","8,710","1,280","267,509",80
76233,"1,700","3,530",440,"116,239",30
76234,"8,720","18,280","2,170","690,347",150
76238,240,480,80,"17,485",0
76239,530,"1,020",200,"34,455",0
76240,"12,380","24,690","3,140","834,826",240
76244,"33,930","74,930","4,600","2,717,347",860
76245,930,"1,750",390,"70,776",0
76247,"8,330","17,840","1,400","640,914",260
76248,"18,360","39,920","4,660","2,543,559",360
76249,"4,460","9,300",880,"327,028",70
76250,590,"1,240",170,"52,112",20
76251,360,730,130,"21,320",0
76252,"1,500","2,970",430,"126,237",30
76255,"2,350","4,690",740,"128,847",40
76258,"3,360","6,890",820,"278,687",50
76259,"2,930","6,400",550,"221,158",100
76262,"19,440","42,030","3,810","3,727,346",400
76264,730,"1,400",240,"44,582",0
76265,740,"1,510",250,"47,889",0
76266,"7,950","16,010","1,720","553,284",170
76270,"1,060","2,150",330,"74,406",0
76271,880,"1,720",220,"58,834",0
76272,"2,550","5,360",650,"191,250",60
76273,"4,540","9,080","1,260","301,770",90
76301,"6,640","12,330","1,300","258,911",140
76302,"5,780","10,960","1,480","349,075",110
76305,"2,310","4,470",690,"134,738",40
76306,"6,540","12,580","1,390","263,893",110
76308,"9,570","17,230","2,700","739,781",160
76309,"6,000","11,270","1,640","345,531",90
76310,"9,040","17,970","2,370","659,022",160
76311,"1,470","2,600",60,"51,919",0
76351,830,"1,690",240,"47,165",0
76354,"5,210","10,390","1,360","280,906",110
76357,270,540,80,"15,083",0
76360,"1,150","2,240",330,"56,521",30
76363,110,210,30,"4,217",0
76365,"2,150","4,180",700,"132,635",30
76366,950,"1,960",240,"66,980",0
76367,"4,470","8,900","1,210","271,495",80
76371,690,"1,420",220,"35,470",0
76372,350,710,90,"19,318",0
76374,"1,630","3,360",480,"91,944",0
76377,300,580,80,"15,959",0
76379,230,470,60,"15,363",0
76380,"1,440","2,890",500,"90,352",0
76384,"5,160","10,030","1,260","249,001",80
76389,600,"1,320",140,"43,572",0
76401,"11,540","21,860","2,590","687,190",210
76424,"3,440","6,990",950,"176,455",50
76426,"5,150","10,720","1,280","342,554",80
76427,330,690,80,"20,237",0
76430,"1,100","2,260",340,"92,995",0
76431,"1,630","3,390",400,"99,734",30
76432,540,"1,070",180,"31,650",20
76433,840,"1,790",290,"67,132",0
